Career_ID,Career_Family,Representative_Roles,Recommended_Stream,Typical_Path_After_12,Interest_R_1to5,Interest_I_1to5,Interest_A_1to5,Interest_S_1to5,Interest_E_1to5,Interest_C_1to5,Numerical_Aptitude_1to5,Verbal_Aptitude_1to5,Logical_Aptitude_1to5,Spatial_Aptitude_1to5,Scientific_Aptitude_1to5,Memory_1to5,Attention_to_Detail_1to5,Creativity_1to5,Communication_1to5,Social_Orientation_1to5,Leadership_1to5,Teamwork_1to5,Independence_1to5,Stress_Tolerance_1to5,Adaptability_1to5,Value_Achievement_1to5,Value_Stability_1to5,Value_Recognition_1to5,Value_Relationships_1to5,Value_Support_1to5,Value_Autonomy_1to5,Office_Work_0to5,Field_Work_0to5,Lab_Work_0to5,People_Contact_0to5,Computer_Work_0to5,Physical_Activity_0to5,Future_Skill_Relevance_1to5
C01,"Artificial Intelligence, Machine Learning & Data Science","AI Research Scientist, Machine Learning Engineer, NLP/LLM Architect, Data Analyst",PCM,JEE Main / Advanced -> B.Tech in CSE / AI & Data Science -> M.Tech / Direct Tech Hiring,3,5,2,1,2,4,5,3,5,4,4,4,5,4,3,2,2,3,5,4,5,5,3,4,2,2,5,5,0,3,2,5,0,5
C02,Computer Science & Full-Stack Software Engineering,"Full-Stack Developer, Cloud Systems Architect, DevOps Engineer, Cybersecurity Specialist",PCM,JEE Main / BITSAT / State CET -> B.Tech in Computer Science / IT -> Software Engineering,3,4,2,2,3,4,4,3,5,3,3,4,4,4,3,2,3,4,4,4,5,4,4,3,3,2,4,5,0,1,2,5,0,5
C03,"Mechanical, Aerospace & Automotive Engineering","Aerospace Design Engineer, Automotive Propulsion Specialist, CAD/CAM Modeler, Drone Architect",PCM,JEE Main / Advanced -> B.Tech Mechanical / Aerospace -> Core Industrial R&D / ISRO / DRDO,5,4,2,1,2,3,5,2,5,5,5,3,5,4,3,2,3,4,4,4,3,4,4,4,2,2,3,4,3,4,2,4,3,4
C04,"Electronics, Robotics & Embedded Hardware","Robotics Systems Engineer, VLSI Chip Architect, IoT Embedded Developer, Automation Specialist",PCM,JEE Main / Advanced -> B.Tech ECE / Electrical / Mechatronics -> Semiconductor & Robotics Labs,5,4,2,1,2,4,5,2,5,4,5,3,5,4,2,2,2,3,4,4,4,4,4,3,2,2,4,3,2,5,2,4,3,5
C05,"Clinical Medicine, Surgery & Hospital Practice","Surgeon, General Physician, Pediatrician, Cardiologist, Medical Researcher",PCB,NEET-UG -> MBBS (5.5 yrs) -> NEET-PG -> MD / MS Specialization -> Super-Specialty Practice,2,5,1,5,2,3,3,4,4,3,5,5,5,2,5,5,4,4,3,5,4,5,4,5,5,5,3,2,1,4,5,2,4,4
C06,"Movement Science, Biomechanics & Physical Rehabilitation","Sports Physiotherapist, Clinical Movement Biomechanist, Neuro-Rehab Specialist, Ergonomics Consultant",PCB,NEET-UG / SVNIRTAR CET / AIIPMR Entrance -> BPT (4.5 yrs) -> MPT in Sports / Biomechanics -> Clinical & Sports Practice,3,4,3,5,2,3,3,3,4,4,5,4,4,3,4,4,3,3,4,4,4,4,4,4,4,5,4,2,3,4,4,2,4,4
C07,"Biotechnology, Genomics & Life Science Research","Genomic Data Scientist, Biopharmaceutical Researcher, Molecular Biologist, Bioinformatician",PCB,CUET / NEET / ICAR -> B.Sc / B.Tech Biotechnology -> M.Sc / Ph.D -> Biopharma & Genomics Labs,2,5,1,2,2,4,4,3,4,3,5,4,5,3,3,2,2,3,4,3,4,4,3,4,2,4,4,3,1,5,2,4,2,5
C08,"Chartered Accountancy, Auditing & Corporate Taxation","Chartered Accountant (CA), Tax Advisory Partner, Forensic Auditor, Chief Financial Officer",Commerce,CA Foundation -> CA Intermediate -> 2-Year Practical Training -> CA Final -> ICAI Membership,1,3,1,2,4,5,5,4,5,1,2,4,5,2,4,3,4,3,4,5,3,5,5,4,3,2,4,5,1,0,3,4,0,4
C09,"Investment Banking, Equity Research & Wealth Strategy","Investment Banker, M&A Analyst, Equity Research Associate, Portfolio Fund Manager",Commerce,CUET-UG (SRCC / SSCBS) / IPMAT -> B.Com (Hons) / BFIA -> CFA / MBA Finance -> Tier-1 Investment Banks,1,4,1,2,5,4,5,4,5,2,2,4,5,3,4,3,4,4,4,5,4,5,3,5,3,1,3,5,0,0,4,5,0,4
C10,"Constitutional Law, Litigation & Judicial Advocacy","Litigating Advocate, Corporate Legal Counsel, Public Prosecutor, Judicial Magistrate",Humanities/Arts,CLAT-UG / AILET -> B.A. LL.B. (Hons) 5-Year Integrated at NLUs -> Bar Council AIBE -> High Court / Corporate Law,1,4,2,3,5,3,2,5,5,1,2,4,5,3,5,4,5,3,4,5,4,5,4,5,3,4,4,4,2,0,5,3,1,4
