id,mathematics_interest,physics_interest,chemistry_interest,biology_interest,computer_interest,accountancy_interest,economics_interest,business_interest,history_political_science_interest,psychology_interest,logical_reasoning,numerical_ability,scientific_interest,problem_solving,communication,leadership,creativity,empathy,research_interest,public_speaking,technology_interest,medical_healthcare_interest,business_finance_interest,social_issues_interest,government_public_service_interest,law_debate_interest,teaching_interest,long_study_willingness,stress_tolerance,risk_tolerance,teamwork,people_interaction,career_choice
1,3,5,4,3,5,1,5,4,5,7,7,3,7,7,8,6,9,8,5,8,3,4,2,5,3,4,9,7,5,3,7,7,Teaching / Professor
2,5,3,1,3,7,9,9,6,3,3,6,10,2,6,4,8,3,3,5,5,4,2,10,3,3,3,5,8,7,3,7,6,CA / Accounting
3,4,1,5,1,3,1,5,4,10,5,8,4,2,8,6,5,5,6,6,8,4,3,4,7,6,8,5,9,7,7,6,9,Law
4,6,4,9,10,6,5,2,4,4,6,6,5,8,10,9,8,4,10,7,9,7,10,6,7,5,4,9,9,8,4,8,8,MBBS / Doctor
5,7,1,1,3,5,8,6,5,3,3,7,9,3,5,4,5,5,2,3,4,6,1,10,2,6,4,6,5,4,4,7,6,CA / Accounting
6,8,7,6,6,8,6,5,2,3,4,9,6,7,8,5,7,8,6,6,6,6,1,2,4,5,3,4,6,8,6,6,4,Engineering
7,4,6,5,8,6,5,4,5,3,6,7,7,10,10,8,8,10,8,4,8,7,10,6,4,4,2,3,8,10,4,9,9,Dentist
8,6,4,4,4,4,10,9,6,4,6,7,8,3,6,6,7,5,3,6,4,5,2,10,3,7,5,5,9,7,3,9,4,CA / Accounting
9,3,2,3,3,7,3,7,5,7,8,7,5,3,7,7,6,6,7,7,8,7,5,5,7,7,10,3,8,8,5,7,7,Law
10,4,3,3,2,6,4,6,6,6,6,6,7,3,7,7,8,9,5,4,8,7,2,7,6,5,3,3,7,7,5,7,8,Business / Management
11,7,3,2,1,5,9,8,7,3,3,8,8,1,6,9,7,4,5,5,6,6,2,7,3,1,4,5,8,7,5,5,5,Finance / Banking
12,6,3,2,2,4,5,5,6,3,5,9,9,5,6,8,6,3,6,3,3,9,2,7,3,5,2,4,6,10,4,5,5,Finance / Banking
13,8,6,1,3,7,9,9,9,4,3,7,10,2,8,8,7,6,4,5,7,10,4,10,3,4,4,6,7,8,6,3,8,Finance / Banking
14,7,3,5,1,5,10,7,6,5,6,8,7,3,8,4,8,5,3,5,5,5,1,9,3,5,5,5,9,9,5,8,5,CA / Accounting
15,5,2,1,4,4,5,3,6,6,7,5,4,2,6,7,5,5,5,4,7,5,1,4,5,8,9,2,9,7,4,10,7,Law
16,4,4,3,1,7,9,4,6,7,4,10,9,5,7,6,4,6,3,4,2,7,3,9,4,6,2,7,5,7,7,8,4,Finance / Banking
17,1,2,3,1,5,4,4,3,8,4,3,1,7,7,10,10,8,7,5,6,7,1,6,8,2,7,4,6,6,7,7,10,Journalism / Media
18,2,2,3,3,4,5,4,9,5,7,7,8,5,9,7,10,8,8,6,7,7,3,6,6,5,2,5,7,9,9,6,7,Business / Management
19,8,5,5,3,8,5,9,10,5,3,9,7,5,8,9,10,7,7,3,8,7,2,7,4,3,5,5,3,8,8,8,7,Business / Management
20,8,4,1,1,5,10,8,9,2,2,9,9,3,6,6,7,5,5,6,6,6,5,8,6,5,5,4,10,10,7,8,6,CA / Accounting
21,7,1,1,1,5,7,5,5,2,2,4,7,1,6,3,5,3,5,4,3,5,1,7,2,3,3,3,7,6,4,7,4,CA / Accounting
22,5,1,1,2,6,1,4,3,8,5,6,2,3,8,6,7,6,8,7,8,4,2,4,7,3,10,3,9,5,4,6,7,Law
23,5,6,4,4,5,3,3,3,4,8,5,5,5,7,10,6,8,8,8,9,8,5,1,4,4,2,9,6,6,4,7,7,Teaching / Professor
24,6,1,3,1,5,9,6,7,4,3,10,7,1,6,7,6,1,3,3,6,4,1,6,3,6,3,5,7,7,4,4,4,CA / Accounting
25,5,7,7,8,3,4,4,4,1,3,8,4,8,7,10,5,7,8,6,3,3,9,3,4,4,4,4,10,7,3,8,9,Dentist
26,10,5,4,4,7,7,7,7,4,3,6,8,2,7,7,6,7,5,4,5,6,1,10,5,6,8,7,7,5,7,7,5,CA / Accounting
27,5,5,7,2,2,5,7,9,4,7,5,7,6,9,9,10,9,6,6,8,9,1,7,4,5,7,5,5,9,8,10,10,Business / Management
28,5,7,8,9,5,3,4,4,2,5,5,7,8,7,7,3,7,9,2,3,5,10,3,2,2,2,4,6,7,3,6,8,Dentist
29,6,3,7,6,5,2,1,1,2,3,6,6,10,5,4,4,6,6,10,3,5,7,1,4,6,2,7,9,3,4,3,6,Pharmacy
30,7,4,4,4,3,9,8,8,3,5,8,8,3,7,5,6,5,6,6,8,5,2,10,5,4,3,5,7,7,8,10,5,Finance / Banking
31,1,3,5,4,4,1,5,5,10,5,6,4,3,6,8,8,9,7,5,9,5,1,5,8,9,7,7,8,9,5,9,9,Civil Services
32,7,2,1,2,4,8,5,7,2,3,6,10,1,4,5,4,5,5,6,5,4,3,8,2,4,4,3,9,8,3,6,7,CA / Accounting
33,9,1,2,2,7,6,8,8,4,4,7,8,2,9,7,6,5,6,8,5,7,2,10,5,4,5,4,4,8,5,7,5,Finance / Banking
34,8,4,3,1,7,5,8,5,4,5,8,8,2,7,6,7,4,7,5,6,6,3,10,3,2,6,3,6,7,5,8,7,Finance / Banking
35,3,2,2,1,6,3,1,3,8,5,6,2,2,6,8,7,10,6,6,7,9,4,5,8,5,5,7,4,7,6,9,10,Journalism / Media
36,7,1,5,2,5,9,9,6,5,5,10,10,3,8,6,5,5,4,6,6,7,3,10,5,3,5,5,9,8,5,9,6,CA / Accounting
37,5,5,3,3,5,5,7,10,5,6,7,7,7,7,9,7,10,6,3,5,8,1,8,5,4,4,4,6,9,8,9,8,Business / Management
38,8,6,4,6,8,3,4,3,1,5,8,7,6,9,3,4,5,7,7,1,6,3,3,2,6,4,5,5,7,5,6,6,Engineering
39,7,3,1,3,3,10,8,5,5,4,7,7,3,6,7,4,7,3,2,5,4,1,10,7,4,5,4,8,6,3,5,5,CA / Accounting
40,3,4,5,4,7,4,7,7,9,8,8,5,5,8,9,10,8,5,9,9,4,1,4,10,10,9,7,10,6,5,10,10,Civil Services
41,2,1,3,2,6,3,3,6,9,6,9,5,5,9,7,6,6,6,5,7,4,1,4,4,7,8,5,4,7,5,7,8,Law
42,9,8,5,7,6,3,4,5,6,6,7,8,5,7,8,8,10,7,10,10,5,4,2,6,3,5,9,8,8,6,9,7,Teaching / Professor
43,3,4,6,6,3,1,1,4,4,5,8,5,7,6,5,5,4,6,5,2,4,6,2,1,3,1,3,5,5,1,4,5,Pharmacy
44,3,1,3,5,7,2,5,8,9,3,10,4,4,9,9,7,7,6,6,10,5,1,5,7,8,10,6,6,8,4,6,8,Law
45,7,6,2,4,6,2,5,2,4,4,7,5,4,5,8,6,6,8,7,8,6,2,3,6,4,3,10,6,6,2,7,6,Teaching / Professor
46,1,1,4,4,5,4,1,2,4,8,6,4,5,4,8,6,6,7,6,8,5,7,3,6,4,3,7,8,5,2,6,7,Psychology
47,4,2,8,7,7,4,2,5,2,5,7,4,10,7,8,4,6,4,8,6,6,10,2,4,3,1,4,9,6,4,5,7,Pharmacy
48,6,3,3,1,4,9,7,5,1,4,8,9,1,7,7,5,3,5,5,2,6,1,10,3,3,2,6,7,10,6,8,2,CA / Accounting
49,6,1,2,2,8,10,8,4,4,5,5,7,1,9,7,4,2,1,2,2,5,2,10,4,3,4,3,7,7,5,7,4,CA / Accounting
50,4,1,3,2,7,4,7,5,10,6,9,6,4,6,8,7,6,7,5,9,6,6,4,8,6,10,5,7,10,7,5,8,Law
51,8,3,2,3,9,4,8,9,2,6,6,7,7,8,8,10,7,4,7,7,8,6,5,5,2,6,4,4,9,8,7,7,Business / Management
52,4,1,6,6,2,2,8,4,10,4,6,5,4,9,7,6,8,9,10,6,4,3,2,9,10,4,6,6,8,3,7,5,Civil Services
53,3,4,7,8,4,1,1,4,4,3,3,3,9,5,8,1,5,7,3,4,4,10,1,5,1,2,4,8,5,3,6,9,Dentist
54,5,2,2,5,5,10,9,6,3,4,8,7,2,5,9,6,4,3,4,2,6,3,10,5,6,7,4,7,9,3,6,5,CA / Accounting
55,3,5,7,6,5,4,4,6,3,5,4,4,5,9,5,4,8,7,5,4,4,8,3,2,3,2,8,9,9,4,7,9,Dentist
56,9,9,5,6,9,3,7,3,6,2,9,8,7,10,6,8,8,6,7,5,9,4,4,7,5,5,3,9,7,5,10,7,Engineering
57,1,2,2,6,1,5,1,4,4,10,8,3,6,9,8,3,8,10,6,6,2,5,2,4,4,3,5,8,8,6,8,7,Psychology
